id,cuisine
0,spanish
1,mexican
2,french
3,chinese
4,italian
6,chinese
8,french
9,southern_us
10,chinese
14,italian
15,mexican
16,indian
19,mexican
20,italian
21,thai
22,mexican
24,southern_us
25,mexican
27,mexican
29,cajun_creole
30,jamaican
31,mexican
32,japanese
33,mexican
34,greek
37,mexican
38,southern_us
39,mexican
40,russian
41,mexican
43,french
44,irish
45,southern_us
46,indian
48,indian
49,southern_us
50,indian
53,cajun_creole
54,thai
55,mexican
56,italian
58,spanish
59,mexican
60,mexican
61,thai
62,italian
63,moroccan
64,cajun_creole
65,italian
67,irish
68,japanese
69,spanish
70,italian
72,french
73,italian
74,chinese
75,indian
76,mexican
77,italian
78,mexican
79,korean
80,southern_us
81,italian
82,indian
83,southern_us
84,greek
86,moroccan
87,filipino
88,southern_us
89,mexican
90,southern_us
91,greek
92,jamaican
93,russian
94,french
95,southern_us
96,italian
97,italian
98,japanese
99,mexican
100,mexican
101,french
102,filipino
103,southern_us
104,chinese
105,french
106,chinese
107,vietnamese
108,southern_us
109,korean
110,spanish
111,mexican
112,southern_us
113,italian
114,mexican
115,french
116,french
118,mexican
119,italian
120,italian
121,chinese
124,japanese
125,jamaican
126,spanish
127,italian
128,cajun_creole
129,thai
132,spanish
134,indian
135,moroccan
136,italian
137,mexican
138,greek
139,chinese
140,jamaican
141,mexican
143,moroccan
145,french
146,cajun_creole
147,indian
148,chinese
149,southern_us
150,mexican
151,french
152,greek
153,spanish
154,italian
155,korean
156,vietnamese
157,indian
158,mexican
159,mexican
161,french
162,vietnamese
163,moroccan
165,french
167,southern_us
168,british
170,italian
171,southern_us
174,japanese
175,mexican
176,japanese
177,italian
178,indian
179,italian
180,italian
181,moroccan
184,italian
185,italian
186,spanish
187,italian
189,greek
190,southern_us
193,mexican
194,filipino
195,indian
196,korean
197,italian
198,mexican
199,indian
200,southern_us
201,thai
202,vietnamese
203,brazilian
204,italian
205,italian
206,japanese
207,southern_us
208,cajun_creole
209,mexican
211,italian
212,southern_us
213,mexican
214,thai
215,mexican
216,korean
217,french
218,southern_us
220,jamaican
221,southern_us
222,italian
223,moroccan
225,filipino
228,indian
230,thai
231,mexican
232,indian
233,italian
234,irish
237,italian
238,italian
239,moroccan
241,mexican
242,korean
243,thai
244,japanese
245,southern_us
248,chinese
250,italian
251,japanese
252,mexican
254,italian
255,italian
258,irish
259,japanese
260,thai
261,chinese
262,japanese
264,greek
265,japanese
266,mexican
267,vietnamese
268,southern_us
269,southern_us
270,southern_us
271,thai
272,british
273,greek
274,southern_us
275,french
276,russian
277,mexican
279,mexican
280,indian
281,mexican
282,korean
283,british
284,korean
285,french
287,thai
288,southern_us
289,indian
290,mexican
291,italian
292,italian
